message,sentiment,interactionRate,pageName,likes,comments,shares,type,createTime
"Join us for Paint and Pint Night at DuVigon March 18th!  Seating is limited so sign up soon!

www.duvig.com/events",0,0,DuVig Brewing Company,0,0,0,Link,02/29/2016 15:02:30
"Leap Day, we’ll drink to that!",0,0.3741,Redhook Brewery,745,11,28,Photo,02/29/2016 15:00:00
"Stop by the brewery tomorrow starting at noon to try out our spring seasonal, Double IPA, D.H. IPA!  It will be available on tap for samples, growler fills, 22oz bottles, and 1/6 barrels so get it while you can!  We used a three pound per barrel blend of New Zealand’s Motueka, Australia’s Galaxy, and USA’s own Citra and Idaho 7 hops which give this year’s batch of D.H. IPA a huge citrus nose and taste with notes of juicy orange, lime, passion fruit, and apricot. Cheers!",1,0.5049,Henniker Brewing Company,18,1,0,Photo,02/29/2016 14:55:51
Live Music w. Topher Brew this Wednesday!,0,0.0736,Wormtown Brewery,8,0,0,Link,02/29/2016 14:55:12
"Also our online store website is www.1strepublic-homebrew.com, it is under construction right now, but will be open Saturday March 5th as well.  Any order you place before 1PM will ship same day and arrive to you the next day if you live within New England!",1,3.237,1st Republic Brewing Co,15,2,11,Link,02/29/2016 14:46:53
"1st Republic Homebrew Store opening this Saturday March 5th.  We will be open 11am - 5pm. (pending final inspection this week).  The first 100 people to spend $50.00 in the store will receive a loyalty card (see picture).  Only applies to in store sales, all online sales will be discounted all next week 15%.  Come on down and see Vermont's newest and best local homebrew shop.  We have all beer making, wine making, mead making, and cider making ingredients and equipment, with the best prices!  See you this weekend!",1,40.4624,1st Republic Brewing Co,249,40,61,Photo,02/29/2016 14:42:26
,0,0.2177,Abandoned Building Brewery,7,0,0,Event,02/29/2016 14:36:04
Another amazing beer pairing going on tonight as part of #portsmouthbeerweek,0,0.0248,Newburyport Brewing Co.,3,1,0,Photo,02/29/2016 14:29:27
"Eli J. Paws   2006 - 2016
Eli passed away early this morning unexpectedly. He was a great dog, friend, security guard, pet and charmingly weird. We know he had a lot of fans and he really appreciated all the treats brought to him. RIP my good boy! You will be very missed.",1,6.752,New England Brewing Co.,897,361,50,Photo,02/29/2016 14:27:26
Two Roads Road 2 Ruin Double IPA made it into the Sweet 16 of the National Imperial IPA Championships!,1,1.0048,Two Roads Brewing Company,203,12,18,Link,02/29/2016 14:20:19
"Don't forget to buy your Sip & Slide tickets for Sunday's event at Post 390. We'll be pouring our new beer, Croupier, and pairing it with a special slider.",0,0.0243,Idle Hands Craft Ales,1,0,0,Link,02/29/2016 14:16:42
"The official beer of the St. Patty's day parade now has an official #SpindriftSoap ! Our newest spindrift soap product uses our Spring Irish Red Ale, pine, bergamot, and ground citra hops. Get yours only in our Newport Storm Brewery's Visitor Center ;) #somuchfoam #newportstorm #showerwithbeer  #stpats60",0,0.0274,Newport Storm Beer,4,0,0,Photo,02/29/2016 14:13:38
,0,0.0467,Cape Ann Brewing,5,0,0,Event,02/29/2016 14:11:15
2pm update - looking good!,0,0.3326,Beara Irish Brewing Co.,6,0,0,Photo,02/29/2016 14:09:18
,0,0,Wachusett Brewing Company,0,0,0,Photo,02/29/2016 14:05:59
This week and every week at 7th!,0,0.122,7th Settlement Brewery,6,0,1,Photo,02/29/2016 14:02:54
"We know it's tough with us only being open on Saturdays, so for a special treat, we will open next Tuesday, 03/08/2016 from 4-8p.m. We will be fully open for draft pours, bottle and growler sales.

As a bonus, we will also release the new version of III Dry-Hopped with Centennial (the same batch we preview at EBF a few weeks back) both on draft and in bottles. We will also have a special new Zymatore offering + 15 bottles of the glorious 1993 Courage Imperial Russian Stout available to drink on-site! Get ready!",1,0.9255,OEC Brewing,30,10,1,Photo,02/29/2016 14:02:43
February 29th!?! Come on over from 3-8pm for Leap Beer!!! Get it?,0,0.1393,SoMe Brewing Company,6,0,0,Photo,02/29/2016 14:02:36
"We’re spending Leap Day mingling at Red Bird in Waltham. Join us from 7-11pm as we pair in-house chocolate creations and hand-picked cheeses from Wasik's Cheese Shop with Furth, Awake, Trifecta, Viva Habanera, and Morph with Whirlpool on draft - last call for tickets!",0,0.0525,Night Shift Brewing,8,0,0,Photo,02/29/2016 14:00:00
Happy Leap Day! #epicjump @lionranagain  #nantucket #startenders #memorablemonday #ciscocrew #leapday2016 #weknowagoodtimewhenwetasteit,1,0.6142,Cisco Brewers Nantucket,115,3,3,Photo,02/29/2016 13:45:28
This Thursday we're introducing Pint Night in our tap room. On Thursday nights all pints will be $1 off the regular price! Please note that this cannot be combined with a Trailblazers card.,0,0.323,Broad Brook Brewing,12,1,2,Photo,02/29/2016 13:43:27
"The The Harraseeket Inn is hosting a beer dinner with MBC pairings! Make your reservation today for a five-course meal paired with Peeper, Lunch, MO, Weez, and Zoe!",0,0.0643,Maine Beer Company,10,1,1,Photo,02/29/2016 13:31:15
,0,0.0655,Bissell Brothers,9,0,0,Photo,02/29/2016 13:23:07
"We'll be at this event at the Guilford Art Center!  We'd love to see you there too! 

Cheers!
http://www.wfsb.com/clip/12249573/guilford-art-center-is-holding-an-art-and-craft-beer-fundraiser",0,0,DuVig Brewing Company,0,0,0,Link,02/29/2016 13:17:27
,0,0.4287,Banded Horn Brewing Co.,29,0,0,Event,02/29/2016 13:11:49
"Yes, you heard right-- 12 tap lines and a special Beast cask tomorrow starting at 4p..  See you there!",1,1.2097,Rockingham Brewing Company,16,2,0,Photo,02/29/2016 13:09:55
"Thursday, March 10 we will be pairing up with Speed n' Sprocket to bring you another great film.",0,0.1866,Abandoned Building Brewery,6,0,0,Event,02/29/2016 12:57:27
"Thursday, March 10 we will be pairing up with Speed n' Sprocket to bring you another great film.",0,0.1555,Abandoned Building Brewery,5,0,0,Event,02/29/2016 12:57:21
Another chance to do good and drink free beer!,1,0.9028,The Bucket Brewery,20,4,10,Photo,02/29/2016 12:38:47
,0,0.1169,Cape Cod Beer,16,0,0,Event,02/29/2016 12:34:07
"Attention Live music fans!

14th Star Brewing Co. presents the very talented singer/songwriter Steve Hartmann live in the Taproom Saturday, March 5th!

Don't miss this special night of great music and great beer. One night only - no cover charge!",0,0.2263,"14th Star Brewing Company, LLC",15,0,9,Photo,02/29/2016 12:30:00
Hey everyone! We are bummed to announce that the brewers' tourney has been canceled this week due to ice malfunctioning. We'll be looking forward to making it happen next year! Cheers #nhbeer #pbw2016,0,0.0677,Stoneface Brewing Co.,1,2,1,Status,02/29/2016 12:04:21
Check out this great blog by our friend Kyle Silva about Foolproof.,0,0.3428,Foolproof Brewing Company,19,0,1,Link,02/29/2016 12:03:34
"Ladies & Gentlemen, introducing Kilgore.

See you on March 14th. Cheers.

http://www.ableebenezer.com/blog/2016/2/29/kilgore",1,2.7041,Able Ebenezer Brewing Company,159,14,35,Link,02/29/2016 12:00:36
,0,0.4692,Kelsen Brewing Company,15,1,0,Photo,02/29/2016 11:32:09
Collaboration Brewday with Out.Haus Ales - Imperial Maple Stout will be ready for NH Craft Beer Week #nhbeer #brewnh,1,0.6652,Beara Irish Brewing Co.,7,4,1,Photo,02/29/2016 11:15:05
,0,0.0054,Wachusett Brewing Company,1,0,0,Event,02/29/2016 11:06:53
,0,0.0054,Wachusett Brewing Company,1,0,0,Event,02/29/2016 11:05:39
,0,0,Wachusett Brewing Company,0,0,0,Event,02/29/2016 11:03:28
,0,0,Wachusett Brewing Company,0,0,0,Event,02/29/2016 11:01:29
Join us this weekend!,0,0.0054,Wachusett Brewing Company,1,0,0,Event,02/29/2016 10:57:27
,0,0,Wachusett Brewing Company,0,0,0,Event,02/29/2016 10:55:47
Join us this Thursday 3/3 @row34 for @oxbowbeer and #eastcoast #oysters Beers on at 5pm. Hope to see you there.,0,0.0755,Oxbow Brewing Company,7,0,0,Photo,02/29/2016 10:55:12
"A big thanks to everyone who showed up and waited in (the record) line for the El Lechedor release yesterday! We’re constantly blown away by your support, and yesterday was no exception. 

Special shoutout to the first person in line who drove all the way from New York! Now that’s dedication.",1,3.5208,Night Shift Brewing,464,53,20,Photo,02/29/2016 10:54:12
,0,0,Wachusett Brewing Company,0,0,0,Event,02/29/2016 10:51:18
,0,0,Wachusett Brewing Company,0,0,0,Event,02/29/2016 10:48:47
,0,0,Wachusett Brewing Company,0,0,0,Event,02/29/2016 10:48:30
,0,0,Wachusett Brewing Company,0,0,0,Event,02/29/2016 10:47:08
,0,0,Wachusett Brewing Company,0,0,0,Event,02/29/2016 10:45:22
Join us this TOMORROW at Brewers Coalition!!,0,0.1315,603 Brewery,11,0,0,Video,02/29/2016 10:45:06
,0,0.0162,Wachusett Brewing Company,3,0,0,Event,02/29/2016 10:44:07
,0,0,Wachusett Brewing Company,0,0,0,Event,02/29/2016 10:41:06
,0,0.0015,Magic Hat Brewing Company,4,0,0,Link,02/29/2016 10:16:11
"The latest in our series of unique beer dinners takes place Tuesday, March 8th at Thistle Pig in South Berwick. 6 of our beers, including the LAST keg of AWFS15, as well as an exclusive keg of Spruce Tip Bucolia, are each paired with two small plates from chef Ben Hasty, for a total of twelve delicious creations from the kitchen. No assigned seating, mingling encouraged. $65 per seat for the entire experience. 6pm start. 
RESERVATIONS - (207) 704-0624 or jenrae207@gmail.com",1,2.5468,Bissell Brothers,293,28,29,Photo,02/29/2016 10:14:16
Doing a collab with Beara Irish Brewing Co. today ...,1,4.6205,Out.Haus Ales,38,4,0,Status,02/29/2016 10:09:02
"Meet Nona... One of the first members of the brew crew, Nona (short for no name) fell thru the roof of the old Hyport back around 2005, a tiny kitten living in the kitchen off stale oyster crackers. Todd and our friend Melissa Paradise captured her and we took her home (via a trip to the vet).  While Buster Brown gets all the fame ... Nona really is our very first mascot! At approx 11, She lives a quiet life at home trying to avoid Buster and anyone who moves quickly. #catsoftheinternet #mainecoon #bustersnemesis  #whoknew",1,0.76,Cape Cod Beer,93,10,1,Photo,02/29/2016 10:06:08
"This dinner is not to be missed, and tickets are still available for tonight's beer dinner!",0,0.0869,Foundation Brewing Company,5,0,0,Link,02/29/2016 09:59:41
We are going to be at Philly Craft Beer Fest this year! Come say hi and have a beer! It's being held at the Philadelphia Navy Yard on 3/5!,0,0.0542,Thomas Hooker Brewery,5,0,0,Photo,02/29/2016 09:56:57
,0,0.0054,Wachusett Brewing Company,1,0,0,Photo,02/29/2016 09:49:18
This Wednesday in the Taproom we have Topher Brew plying live!,0,0.138,Wormtown Brewery,11,0,4,Photo,02/29/2016 09:47:50
Brew day! 2015 LongShot Homebrew Contest winner Kevin Nanzer is here in Boston to brew his winning Belgian Golden Strong Ale! Look for the winning LongShot variety 6-pack to hit stores in April!,0,0.0139,Samuel Adams,127,9,8,Photo,02/29/2016 09:39:08
LAST CALL!! Still a few tickets left to this awesome leap day beer dinner tonight at Revolution American Bistro #beerdinner #supportlocal,0,0.0349,Grey Sail Brewing of Rhode Island,2,0,0,Photo,02/29/2016 09:19:16
"We are sold out of Vinátta Russian Imperial Stout at the brewery, but you still have a chance to get your hands on some tomorrow!

Our partner in this collaboration brew, The Drinkery Derry is releasing their supply of Vinátta Tuesday from 1-8pm.

They will have a 6 bottle limit per person. Already have some? Extend your supply for cellaring. Were you busy last weekend and missed the release? Here is your chance to grab some.

We thank Andy and Alana for their support in this collaboration brew!",1,2.1994,Kelsen Brewing Company,59,12,4,Photo,02/29/2016 09:19:15
NOW OPEN TUESDAYS at 4PM! See you tomorrow AFTER you #vote! #MABeer #HudsonMA #craftbeer #taproom #byof,0,0.3284,Medusa Brewing Company,18,1,1,Photo,02/29/2016 08:10:37
Thank you all so much for a fantastic Portsmouth Beer Week! We deeply appreciate your patronage and support. Have a great day!,0,0.1997,Earth Eagle Brewings,10,0,0,Photo,02/29/2016 07:47:20
Thanks for the shout-out!,1,0.6049,Allagash Brewing Company,560,45,54,Link,02/29/2016 07:12:06
Today is your last day to buy tickets for our beer dinner at Taverna Khione this Wednesday!,0,0,Burlington Beer Company,0,0,0,Link,02/29/2016 06:47:17
,1,0.501,Big Elm Brewing,25,1,0,Photo,02/28/2016 21:47:43
,1,0.5464,"Queen City Brewery, LLC",18,0,0,Event,02/28/2016 21:27:40
We'll have 2 new beers in the tasting room this upcoming weekend.  Process/Progress #2 and Burgess - More tomorrow.,1,1.6218,Proclamation Ale Company,49,4,0,Status,02/28/2016 20:46:36
"Thanks to everyone that stopped out for the Christollen release. We can't thank you enough for your support & kind words about the beer. There is epicness on the horizon for 4Q in 2016, and we could do none of it without you, our loyal and amazing drinkers. Cheers!",1,0.706,Four Quarters Brewing,25,8,0,Photo,02/28/2016 19:44:28
"Today we earned our beers. Thank you for a great class, Motivate. barre & cardio!",0,0.1365,Newburyport Brewing Co.,20,2,0,Photo,02/28/2016 19:33:34
Good Times in Jamaica.,1,0.9118,Lord Hobo Brewing Co,51,7,0,Photo,02/28/2016 19:21:52
"THIS IS NOT A DRILL: 

Pint Nights are officially one week away!! So, mark your calendars and prepare your drinking pants cause the 2016 60th Annual Newport St. Patrick's Day Parade celebration begins next Sunday at 2pm at The Wharf Pub Newport. Grab a Spring Irish Red Ale to help support the parade and keep this super awesome commemorative pint glass. #StPats60  

Cheers!",0,0.0343,Newport Storm Beer,2,3,0,Photo,02/28/2016 19:20:33
Having Some!,1,7.0618,Frost Beer Works,109,3,0,Photo,02/28/2016 19:02:22
,1,1.2074,"14th Star Brewing Company, LLC",110,18,0,Event,02/28/2016 18:20:41
,1,0.5089,Bigelow Brewing Company,11,3,0,Event,02/28/2016 17:48:23
,1,0.6536,Stone Corral Brewery,8,0,0,Event,02/28/2016 17:13:14
,0,0.3268,Stone Corral Brewery,4,0,0,Event,02/28/2016 17:09:53
Excited for the awesome menu at tonight's beer dinner with Black Birch.,1,0.748,Foundation Brewing Company,35,8,0,Photo,02/28/2016 16:39:18
"The Hempsteadys played the OLBC floor today to sing their sweet nothings to their collab brew, Hopsteady.",1,1.7678,Outer Light Brewing Company,55,2,1,Photo,02/28/2016 16:18:35
Mark your calendars,0,0,Tuckerman Brewing Company,0,0,0,Event,02/28/2016 15:59:55
And....we're on to the new.  Let's do this.,1,9.2314,Old Colony Brewing,198,11,6,Photo,02/28/2016 15:47:01
Even though it's the 11th annual there are still so many people who do not know about this amazing St. Patrick's day parade!    Next Saturday!  Right here on little ole Cape Cod!  #whywelivehere #everyonesIRISHonstpattysday #sayNOtogreenbeer,0,0.1316,Cape Cod Beer,18,0,0,Link,02/28/2016 15:24:43
Some of us might even jump on board and visit some of our other favorites breweries.,0,0.0596,Shebeen Brewing Company,4,0,0,Photo,02/28/2016 15:07:49
"Do you follow us on Instagram? Check it out: https://www.instagram.com/newcitybrewery/
@ NewCityBrewery",0,0.3114,New City Brewery,7,0,0,Photo,02/28/2016 14:58:56
"If you missed the great show last night, you have another chance to see ""Roadhouse: The Musical""... They'll be putting on a show tomorrow, at the Wilbury Theater Group, to benefit the American Cancer Society",0,0.0797,The Bucket Brewery,3,0,0,Event,02/28/2016 14:41:33
Throwing it back a coupe of years!!!,1,1.2853,Tuckerman Brewing Company,87,8,12,Video,02/28/2016 14:15:27
"That's right, TWELVE EEB beers on tap now! (FYI, we're closed tomorrow).",1,0.56,Earth Eagle Brewings,27,0,1,Photo,02/28/2016 13:52:50
"Great Sunday weather for a brew.  You keeping drinking them, we'll keep brewing them.  #thirstynevermore",1,2.1716,Ravenous Brewing Company,60,2,0,Photo,02/28/2016 12:59:27
We had a great time celebrating with you all! Thank you! #cottrell #celebrate #19years #drinklocal #anniversary,1,1.6535,Cottrell Brewing Company,39,5,2,Photo,02/28/2016 12:46:44
"A tasty Black Mast stout on a sunny day... Yes please! Doors are open from 1-5pm today. 
On Tap:
Flagship Cream Ale
Flying Jenny Extra Pale Ale
Leaning Chimney Smoked Porter
Mary Ann's Ginger Spice
Chalkboard Series: Black Mast Stout 
Dark Star w/ Cherries (32oz fill only) $16
Pour Judgement IPA
Great Ketch IPL
Captain's Daughter DIPA
Today's Firkin- Black Mast
#drinklocal #supportlocal #craftbeer #arghmatey",0,0.2098,Grey Sail Brewing of Rhode Island,11,1,0,Photo,02/28/2016 12:29:35
"Schilling and Fresh Salon and Day Spa are teaming up to fight childhood cancer again! Over the last two years, we've raised over $18,000 to promote life-saving research and support children fighting various cancers.  We're at it again in 2016.  Our goal is massive: to raise $15,000 this year.  Please help us by making a tax-deductible donation, raising money as a fellow shavee, or even starting a team and getting competitive.  

Information on how to do all of the above is found at: https://www.stbaldricks.org/events/SchillingBeerCo  

When: Saturday, March 12, 2016.  Noon-3PM
Where: Schilling Beer Co.
What: To help children fight cancer through the St Baldrick's Foundation.  

Please, join us to make a difference!",1,0.6376,Schilling Beer Co.,21,2,7,Photo,02/28/2016 12:03:33
"It’s the last day of Portsmouth Beer Week, so, we thought we would celebrate by infusing beer in today’s specials! Yum!

House-Made Roasted Poblano Sausage Tacos - Two soft tacos filled with house-made roasted poblano beer sausage, cabbage, jack cheese, and then finished with cilantro & our poblano goat cheese. These are off the hook! Pair with Hank’s Pale Ale. $8

Fish & Chips -Beer (Love Me Long Time Pilsener) battered locally caught Pollock, fried to perfection and served with French fries and a house-made dill pickle tarter sauce. Pair with Love Me Long Time Pilsener. $12

Beer Caramel Sundae - Ice cream (vanilla or chocolate – you pick), topped with our house-made Oatmeal Stout Caramel. Decadently yummy! Pair with Red Rover Coffee Milk Stout. $7

Soup of the Day

Hobbs Farm Potato Leek Soup - We slowly simmered potatoes with an abundance of leeks, a touch of white wine, and a dash of nutmeg. The result is a velvety smooth, soul satisfying soup that is packed with tons of flavor an",0,0.2061,Throwback Brewery,12,1,2,Status,02/28/2016 11:52:55
Friday Nights Paint and Sip of the Big Elm of Sheffield was a success!  37 others joined us to raise some money for the Sheffield Volunteer Fire Dept.,1,0.79,Big Elm Brewing,38,2,1,Photo,02/28/2016 11:50:45
#homebrewers - new and experienced - welcome. Next #homebrew meeting is March 2nd. http://ow.ly/YBRU5,0,0.0146,Cape Cod Beer,1,0,1,Link,02/28/2016 11:50:37
1-6pm today! Come relax.,0,0.1626,SoMe Brewing Company,6,1,0,Status,02/28/2016 11:49:24
We'll drink to that! Congrats on a successful Day One! #eatlocal #drinklocal,0,0.1023,Cape Cod Beer,14,0,0,Photo,02/28/2016 11:41:39
Delivery on a Sunday? Just lucky.,1,0.883,Out.Haus Ales,6,2,0,Status,02/28/2016 11:31:40
The barn was full for John Polino last night!,0,0.3737,Westfield River Brewing Company,14,2,0,Photo,02/28/2016 11:30:18
"Great article monetizing the impact of BUY LOCAL.  Not convinced that YOU can make a difference?  Read on!  People, businesses, restaurant, organizations, municipalities .. It really does matter... It really does improve our local economy #drinklocal #itmatters",0,0.2339,Cape Cod Beer,30,2,0,Link,02/28/2016 11:26:06
Trying to dial in the new Beara IPA today - stay tuned... #brewnh #nhseacoast #nhbeer,0,0.5,Beara Irish Brewing Co.,8,0,1,Photo,02/28/2016 11:18:22
Sydney's cask of the not-yet-released Nutmeg State Saison with clementine peel and dry hopped with Fantasia hops taps at 1 pm today in the OLBC taproom.,1,1.3715,Outer Light Brewing Company,39,2,4,Photo,02/28/2016 11:02:01
That's 3 pounds of Acoustic Java Ethiopian Yirgacheffe going into a fermenter. Who's going to take the Holeshot?,1,0.9884,3cross Brewing Co.,20,3,0,Photo,02/28/2016 10:34:24
